Date;Market Rate;Zero Rate;Discount
01/10/2025;;;1
10/10/2025;1.927;1.9535;0.999518
17/10/2025;1.928;1.95402;0.999144
03/11/2025;1.928;1.9532;0.998236
03/12/2025;1.929;1.95264;0.996635
05/01/2026;1.9271;1.94907;0.994887
03/02/2026;1.92745;1.94523;0.99336
03/03/2026;1.9221;1.94115;0.991896
07/04/2026;1.9172;1.93447;0.990086
04/05/2026;1.9118;1.92772;0.988709
03/06/2026;1.90675;1.92117;0.987187
03/07/2026;1.90225;1.91518;0.985674
03/08/2026;1.8987;1.91009;0.984114
03/09/2026;1.89475;1.90462;0.982569
05/10/2026;1.89275;1.90105;0.980965
05/04/2027;1.88925;1.90053;0.971717
04/10/2027;1.91675;1.92502;0.962079
03/10/2028;1.99825;2.00746;0.941398
03/10/2029;2.0857;2.17678;0.916448
03/10/2030;2.1637;2.25572;0.893176
03/10/2031;2.2398;2.32916;0.869409
04/10/2032;2.31;2.39869;0.845154
03/10/2033;2.37575;2.46963;0.8205
03/10/2034;2.442;2.53355;0.795888
03/10/2035;2.50115;2.53529;0.775842
03/10/2036;2.5576;2.59529;0.751385
05/10/2037;2.6066;2.64927;0.727297
03/10/2040;2.7184;2.7742;0.659294
03/10/2045;2.8018;2.86536;0.563481
03/10/2050;2.8143;2.86943;0.487733
04/10/2055;2.8109;2.85489;0.424328
05/10/2065;2.80175;2.82775;0.322328
03/10/2075;2.768;2.75841;0.251512
